Freq.	V(filtroout)
3.71535229097169e+04	-1.74098899669117e-04,-3.60895435923439e-04
3.80189396320557e+04	-1.59865677440717e-04,-3.10789698166880e-04
3.89045144994277e+04	-1.46168857140502e-04,-2.67488316319524e-04
3.98107170553493e+04	-1.33141136963217e-04,-2.30095953088203e-04
4.07380277804108e+04	-1.20867446269948e-04,-1.97829613015996e-04
4.16869383470331e+04	-1.09395613628768e-04,-1.70005608729708e-04
4.26579518801588e+04	-9.87450272197895e-05,-1.46027826010423e-04
4.36515832240161e+04	-8.89136284557329e-05,-1.25377203922618e-04
4.46683592150958e+04	-7.98835265573203e-05,-1.07602340409599e-04
4.57088189614870e+04	-7.16254762343173e-05,-9.23111317635829e-05
4.67735141287193e+04	-6.41024216331233e-05,-7.91633551798858e-05
4.78630092322633e+04	-5.72722764788238e-05,-6.78641063974615e-05
4.80000000000000e+04	-5.64706324630598e-05,-6.65775578803800e-05
